approach,variant,horizon,MAE,MAPE,RMSE
Seasonal_Naive,weekly,3,5.514796257019043,12.98387336730957,10.226797103881836
Seasonal_Naive,weekly,6,5.520370960235596,13.017988204956055,10.236689567565918
Seasonal_Naive,weekly,9,5.525945663452148,13.049310684204102,10.246538162231445
Seasonal_Naive,weekly,12,5.5312628746032715,13.076949119567871,10.255364418029785
Hour_of_Week,weekly_lambda_0.0,3,4.163904666900635,10.690377235412598,7.385180473327637
Hour_of_Week,weekly_lambda_0.0,6,4.168800354003906,10.723869323730469,7.398181915283203
Hour_of_Week,weekly_lambda_0.0,9,4.173387050628662,10.753950119018555,7.410044193267822
Hour_of_Week,weekly_lambda_0.0,12,4.177289962768555,10.779687881469727,7.419893264770508
Holt_Winters,ANA_single,3,2.4162275791168213,3.887326955795288,5.277529716491699
Holt_Winters,ANA_single,6,2.5749998092651367,4.56522274017334,6.3870930671691895
Holt_Winters,ANA_single,9,2.3890349864959717,5.001654624938965,5.963393211364746
Holt_Winters,ANA_single,12,2.3947362899780273,5.032729148864746,5.684157848358154
